Ref,Val,Package,PosX,PosY,Rot,Side
"@HOLE0","","",118.5011,-157.5036,0.0000,top
"@HOLE1","","",133.5011,-157.5036,0.0000,top
"@HOLE2","","",148.5011,-157.5036,0.0000,top
"@HOLE3","","",178.5011,-157.5036,0.0000,top
"@HOLE4","","",178.5011,-142.5036,0.0000,top
"@HOLE5","","",178.5011,-127.5036,0.0000,top
"@HOLE6","","",178.5011,-67.5036,0.0000,top
"@HOLE7","","",178.5011,-52.5036,0.0000,top
"@HOLE8","","",118.5011,-52.5036,0.0000,top
"@HOLE9","","",118.5011,-67.5036,0.0000,top
"@HOLE10","","",118.5011,-127.5036,0.0000,top
"@HOLE11","","",178.5011,-82.5036,0.0000,top
"@HOLE12","","",178.5011,-97.5036,0.0000,top
"@HOLE13","","",178.5011,-112.5036,0.0000,top
"@HOLE14","","",118.5011,-82.5036,0.0000,top
"@HOLE15","","",118.5011,-97.5036,0.0000,top
"@HOLE16","","",118.5011,-112.5036,0.0000,top
"@HOLE17","","",148.5011,-52.5036,0.0000,top
"ANT1","ANT3216LL00R2400A","YAGEO-ANT3216LL00R2400A",154.5011,-53.5036,0.0000,top
"C1","47u","_PKG_C_1206",164.7511,-152.7536,60.0000,top
"C2","47u","_PKG_C_1206",170.7511,-152.7536,0.0000,top
"C3","47u","_PKG_C_1206",167.2511,-148.0036,108.0000,top
"C4","100n","_PKG_C_0402",162.3761,-150.3786,-160.0000,top
"C5","100n","_PKG_C_0402",154.7511,-140.2536,0.0000,top
"C6","100n","_PKG_C_0402",156.1261,-151.1286,10.0000,top
"C7","8p","_PKG_C_0402",160.5011,-66.6286,90.0000,top
"C8","TBD","_PKG_C_0402_NOTHERMALS",154.0711,-55.3786,0.0000,top
"C9","TBD","_PKG_C_0402_NOTHERMALS",154.0711,-59.1286,0.0000,top
"C10","47u","_PKG_C_1206",160.3761,-62.7536,90.0000,top
"C11","8p","_PKG_C_0402",158.1261,-68.6286,180.0000,top
"C12","4u7","_PKG_C_0402_NOTHERMALS",156.2511,-60.5036,-90.0000,top
"C13","100n","_PKG_C_0402_NOTHERMALS",152.2511,-60.5036,-90.0000,top
"C14","4u7","_PKG_C_0402_NOTHERMALS",158.0011,-63.1286,180.0000,top
"C15","100n","_PKG_C_0402_NOTHERMALS",158.0011,-64.2536,180.0000,top
"C16","100n","_PKG_C_0402_NOTHERMALS",148.5011,-62.8786,0.0000,top
"C17","100n","_PKG_C_0402_NOTHERMALS",148.5011,-67.5036,0.0000,top
"C18","47u","_PKG_C_1206",123.0011,-67.3786,90.0000,top
"C19","100n","_PKG_C_0402",125.3761,-68.3786,90.0000,top
"C20","100n","_PKG_C_0402_NOTHERMALS",158.0011,-60.8786,180.0000,top
"CON1","","USBC_C-31-M-12",158.0011,-160.2536,0.0000,top
"CON2","STEMMA_I2C_QT","JST_SH4",113.5011,-60.0036,-90.0000,top
"D1","","_PKG_SOD123",166.5011,-64.0661,0.0000,top
"IC1","","_PKG_SOP16",157.2511,-145.0036,10.0000,top
"IC2","LD1117-3.3","_PKG_SOT223-4_TI-DCY4",169.5011,-159.0036,180.0000,top
"IC3","WMCU-ESP8285H16","QFN50P500X500X90-33N",153.2511,-65.2536,-90.0000,top
"J1"," 61030621121 ","61030621121",178.6261,-60.0036,-90.0000,top
"L1","TBD","_PKG_L_0402",154.5011,-57.2536,-90.0000,top
"LED1","WS2812B5050","WS2812B",122.0011,-60.0036,180.0000,top
"MOD1","ESP-12S","ESP-12S",136.0011,-58.2036,0.0000,top
"P1","Buzzer","MLT-8530",167.2511,-58.2536,90.0000,top
"Q1","SS8050","SOT96P237X111-3N",162.3761,-137.0036,120.0000,top
"Q2","SS8050","SOT96P237X111-3N",165.2511,-133.0036,-70.0000,top
"Q3","SS8050","SOT96P237X111-3N",167.2511,-67.3786,90.0000,top
"R1","220","_PKG_R_0603",164.2511,-67.7536,90.0000,top
"R2","5k1","_PKG_R_0603",160.5011,-152.7536,-120.0000,top
"R3","5k1","_PKG_R_0603",154.7511,-154.2536,-30.0000,top
"R4","12k 1%","_PKG_R_0402",165.3761,-139.7536,50.0000,top
"R5","12k 1%","_PKG_R_0402",158.5011,-138.5036,-170.0000,top
"R6","12k 1%","_PKG_R_0402",158.0011,-62.0036,0.0000,top
"R7","12k 1%","_PKG_R_0402",150.8761,-60.5036,-90.0000,top
"R8","12k 1%","_PKG_R_0402",148.5011,-66.3786,0.0000,top
"R9","12k 1%","_PKG_R_0402",148.5011,-65.2536,0.0000,top
"R10","12k 1%","_PKG_R_0402",148.5011,-64.1286,0.0000,top
"R11","12k 1%","_PKG_R_0402",158.0011,-59.7536,0.0000,top
"SJ1","","SJ-SHORT",171.0011,-65.0036,0.0000,top
"SJ2","","SJ-SHORT",171.0011,-66.5036,0.0000,top
"SJ3","","SJ-SHORT",171.0011,-68.0036,0.0000,top
"SJ4","","SJ-SHORT",171.0011,-69.5036,180.0000,top
"SW1","","GENERIC_SPNO_4P_6X6MM",141.0011,-158.7536,90.0000,top
"SW2","","GENERIC_SPNO_4P_6X6MM",142.3011,-148.8536,159.0000,top
"SW3","","GENERIC_SPNO_4P_6X6MM",146.1211,-139.6236,150.0000,top
"SW4","","GENERIC_SPNO_4P_6X6MM",152.2011,-131.7036,139.0000,top
"SW5","","GENERIC_SPNO_4P_6X6MM",160.1311,-125.6236,120.0000,top
"SW6","","GENERIC_SPNO_4P_6X6MM",169.3511,-121.8036,110.0000,top
"SW7","","GENERIC_SPNO_4P_6X6MM",179.2511,-120.5036,0.0000,top
"XT1","26MHz","XTAL-4P-2016",158.3761,-66.7536,180.0000,top
